<Trait>	Nematode Gall rating	Nematode Egg Mass rating	TSWV	Leaf spot - Mid / late season	Leaf spot - Late seaso	Leaf spot - harvest	Relative scale - Aflatoxin	Relative scale - Yield under drought stress	Growth habit	Plant size	Main stem (mid season)	Main stem (harvest)		Flowers on main stem	Leaf color	Stem Pigmentation	Pod shape	Pod constriction	Pod reticulation	Seed per pod	Pod weight	Market type	Testa color pattern	Testa color	Seed wright	Shellout
PI268696_Run_SAf	4	4	6	6.5	8.5	9.5	1	1.2	5	4	2	2	2	2	2	2	4	2	3	2100	79.5	3	1	25	36.9	74.8
PI268755_Run_Zam	5	5	5	7.5	8	9	0.7	1.3	5	3	1	1	2	2	1	2	4	5	4	2130	87.9	3	1	27	46.1	73.7
PI268868_Val_Sud	4	4	3	2.5	5.5	 6.5    NA	NA	3	4	1	1	1	3	1	4	2	5	3	3210	128.8	2	1	23	52.3	73.3
PI268996_Run_Zam	5	5	7	4.5	5.5	7	0.5	1.3	3	4	2	2	1	3	1	3	4	2	3	2100	88.4	3	1	32	40	74.8
PI274193_Run_Bol	5	5	7	3	8	6	1.3	NA	3	4	1	1	1	3	1	3	4	1	4	2100	136.8	3	3	40	61.2	69.7
PI288146_Spa_Ind	4	4	7	7	8	9	0.7	1.2	5	4	2	1	2	3	1	2	1	3	2	2100	70.2	1	1	27	35.2	74.4
PI288210_Run_Ind	5	5	7	3	4.5	5	NA	NA	2	4	2	1	1	3	1	4	4	3	4	2100	98.4	3	1	27	49.7	65.1
PI290536_Spa_Ind	5	4	6	3	4.5	6.5	0.4	1	4	3	1	1	1	3	1	3	2	5	3	3210	94.2	2	1	27	38.7	71.3
PI290560_Spa_Ind	5	5	7	7.5	8.5	9	NA	NA	5	4	1	1	2	2	1	3	1	3	3	2100	69.2	1	1	26	32.1	73.2
PI290566_Val_Ind	5	5	5	4	6	7	0.6	0.8	2	4	2	2	1	3	1	4	2	5	3	3210	107.3	2	1	23	43.7	74.3
PI296550_Run_Isr	5	5	4	5	7.5	8	2.6	NA	6	3	4	2	1	3	1	3	4	2	2	2100	132.2	3	1	23	70.5	80.1
PI296558_Run_Isr	5	5	5	NA	NA	NA	0.1	1.1	4	3	1	1	1	3	1	3	4	5	3	2130	114.3	3	1	27	52	70.2
PI298854_Run_SAf	4	4	6	7	8.5	9.5	0.8	1.2	5	4	2	1	2	3	1	2	4	3	3	2100	78.9	3	1	24	37.7	73.5
PI319768_Run_Isr	4	4	4	7	7.5	8	0.6	NA	4	3	1	2	1	3	1	3	4	5	2	2100	84.7	3	1	27	41.8	75.3
PI319770_Run_Isr	5	5	9	7	8	8.5	0.7	NA	5	3	1	2	1	3	1	2	4	3	2	2100	94.9	3	1	36	47.5	70.8
PI325943_Val_Ven	4	4	6	5	8	8.5	1.1	NA	5	4	1	1	1	3	2	2	2	2	2	3241	113.6	2	1	47	39.2	69.5
PI337293_Run_Bra	4	4	7	7	8	9	NA	NA	5	4	2	1	2	2	2	2	4	3	3	2100	81.1	3	1	62	38.4	74
PI337399_Run_Mor	4	4	8	7.5	9	9.5	0.8	0.8	5	3	2	1	2	3	2	2	4	3	3	2100	96.6	3	1	24	44.6	69.8
PI337406_Val_Par	4	4	6	7.5	8.5	 9.5    NA	NA	5	4	2	1	2	2	1	2	2	2	2	3210	103.7	2	1	67	38.4	73.3
PI338338_Val_Ven	NA	NA	7	NA	NA	NA	NA	NA	5	3	2	1	1	4	4	3	2	1	4	3210	115.3	2	1	62	37.3	53.4
PI339960_Val_Arg	5	5	8	2.5	5	6.5	NA	NA	5	4	1	1	2	2	2	2	2	5	2	3421	131.1	2	1	47	40.1	69
PI343398_Vir_Isr	4	4	5	6	7	8.5	1.4	NA	3	3	1	1	1	3	1	3	4	3	3	2100	174.9	4	1	37	81.1	69.4
PI355271_Run_Mex	4	4	4	7.5	8.5	9	0.5	1.4	2	4	2	2	1	3	1	3	4	5	3	2100	124	3	1	30	56.9	75.8
PI371521_Run_Isr	2	2	5	3	5.5	7	NA	NA	4	2	1	1	1	4	1	3	4	2	3	2100	86.8	3	1	24	42.7	77.1
PI372305_Run_Nig	5	4	5	3	6	6.5	1.3	NA	6	3	1	2	1	6	1	3	6	5	3	2130	118.3	3	1	27	57.6	72.9
PI399581_Vir_Nig	5	5	.     	2	6.5	8	1.4	0.9	3	2	1	2	1	3	1	6	4	3	3	2100	156.6	4	4	34	60.5	60.3
PI403813_Val_Arg	5	5	8	7	8.5	9	1	NA	5	3	2	1	2	2	2	1	2	5	2	3241	89.4	2	1	42	31.3	70.3
PI429420_Val_Zim	4	4	7	5	8	9.5	3.7	NA	5	3	1	1	2	3	2	2	2	5	2	3241	121.3	2	1	40	44	67.1
PI442768_Run_Zim	4	4	6	4.5	6	7	2.4	NA	5	4	2	1	1	3	1	3	4	2	2	2100	106.3	3	1	25	50.3	68
PI461427_Val_Chi	3	3	5	NA	NA	NA	NA	NA	5	2	3	2	2	3	2	2	2	5	3	3241	124.6	2	1	42	45.9	69.1
PI461434_Run_Chi	3	3	NA	7.5	8.5	9	NA	NA	5	3	2	2	2	3	1	2	4	2	4	2100	115.3	3	1	24	52	70.7
PI468271_Run_Bol	5	5	NA	1.5	3.5	6	2.6	NA	5	4	1	1	1	3	1	4	2	2	3	2100	122.4	3	1	40	58.1	65.4
PI471954_Val_Zim	5	5	8	2.5	5	8	1.1	0.5	5	4	2	2	2	2	1	1	2	5	2	3421	115.9	2	1	24	40.1	65.8
PI475863_Val_Bol	5	5	8	4.5	6	8	1	0.7	5	4	2	1	2	3	2	2	2	2	3	3241	107.8	2	1	40	36.8	66.5
PI475918_Val_Bol	4	4	7	3.5	6	7.5	0.9	NA	5	4	2	1	2	3	1	2	2	2	3	3421	124.5	2	1	42	34.8	67.8
PI476025_Val_Per	5	5	9	NA	NA	NA	0.4	NA	5	4	2	2	1	3	1	4	2	1	4	3241	139.5	2	1	60	53.5	60
PI476432_Run_Nig	5	5	7	6	7.5	8.5	0.4	NA	5	3	2	1	2	2	1	2	4	5	4	2100	85.3	3	1	42	39.5	72.3
PI476596_Run_Nig	NA	NA	5	NA	NA	NA	0.7	1.4	3	6	1	4	1	4	1	3	4	2	2	2100	118.9	3	1	37	55.1	74.3
PI478850_Val_Uga	4	4	7	NA	NA	NA	NA	NA	5	3	1	2	2	3	1	3	2	5	5	3214	103.9	2	1	47	37.8	70.4
PI482120_Run_Zim	4	4	7	7.5	8.5	9.5	0.9	1.4	5	3	2	2	2	2	3	2	4	2	3	2100	73.7	3	1	24	35	73.8
PI493329_Val_Arg	5	5	6	6	7	8	NA	NA	5	3	2	1	2	2	2	2	2	5	2	3210	93.6	2	1	42	35.5	71.4
PI493356_Val_Arg	5	5	7	3	6	8	NA	NA	5	4	2	2	2	2	2	2	2	2	3	3241	90.7	2	1	40	33.2	71.4
PI493547_Val_Arg	4	4	7	5	6	7.5	1.5	1	5	3	2	2	2	2	2	2	2	1	2	3421	134.1	2	1	40	37.3	72.4
PI493581_Val_Arg	5	5	6	4	6	6.5	0.7	0.8	5	4	2	1	2	2	2	2	2	1	2	3214	121	2	1	46	36.9	71.2
PI493693_Val_Arg	4	4	6	7.5	8.5	9	0.7	1.1	5	3	2	1	1	3	2	2	2	1	3	3421	143	2	1	27	47.4	69.2
PI493717_Val_Arg	1.7	2.5	6	8	9	9.5	NA	NA	5	4	2	1	2	2	1	2	2	2	3	3241	95.9	2	1	27	35.1	76.2
PI493729_Val_Arg	4	4	9	6.5	8	9.5	NA	NA	5	3	2	1	2	3	2	2	2	1	2	3240	101.6	2	1	27	37.4	72.3
PI493880_Val_Arg	4	4	8	7	8.5	9	NA	NA	5	4	1	1	2	3	2	2	2	1	3	4320	151.4	2	1	42	44.8	71.6
PI493938_Val_Arg	5	5	8	4.5	6	8	NA	NA	5	3	2	1	2	3	1	2	2	2	2	3214	77.1	2	1	62	30.1	70.9
PI494795_Vir_Zam	NA	NA	6	NA	NA	NA	NA	NA	2	4	3	3	1	4	1	3	4	2	4	2100	177.1	4	3	17	72	59.6
PI496401_Val_BuF	NA	NA	6	NA	NA	NA	0.7	0.8	4	3	1	1	1	4	1	3	6	5	4	2130	112.2	2	1	37	48.3	73.6
PI496448_Val_BuF	NA	NA	4	NA	NA	NA	1.3	0.8	3	6	3	4	1	4	1	6	6	5	3	2310	126.4	2	1	32	52.8	74
PI497318_Run_Bol	5	5	9	3.5	6	7	NA	NA	5	4	2	1	1	3	1	3	4	3	3	2100	118.8	3	3	47	56.2	68.4
PI497395_Run_Bol	4	4	7	4	6	7	NA	NA	5	4	2	1	1	3	3	3	4	3	2	2100	107.7	3	1	42	49.8	60.8
PI497517_Val_Bra	5	4	6	7	8	9	NA	NA	5	3	2	1	2	2	2	2	2	2	2	3214	123.8	2	1	40	39.9	73.9
PI497639_Val_Ecu	4	4	7	2.5	5	7.5	NA	NA	5	4	2	2	2	4	4	3	2	2	4	3421	140.7	2	1	57	45.2	61.1
PI502037_Val_Per	1.8	2.6	8	2.5	5	7.5	NA	NA	5	4	2	1	2	4	1	3	2	2	4	3421	140.4	2	1	26	45.7	60.5
PI502040_Val_Per	4	4	7	2.5	5	8	NA	NA	5	3	2	1	2	4	1	3	2	1	5	3214	87.6	2	1	23	31.7	64.1
PI502111_Val_Per	3.2	3.7	7	2.5	6	7	NA	NA	5	4	2	2	2	3	2	3	2	3	4	3421	201.9	2	2	26	62.3	55.1
PI502120_Val_Per	2.2	2.5	8	4	6.5	8	NA	NA	5	4	2	2	2	3	1	3	2	2	4	3421	157.2	2	2	26	48.9	54
