Query_1	Query_1	BC_1959	5e-61	580
Query_41	Query_41	BC_2655	6e-05	95
Query_41	Query_41	BC_1357	1e-17	204
Query_41	Query_41	BC_4510	1e-17	204
Query_41	Query_41	BC_1359	1e-17	204
Query_41	Query_41	BC_2184	2e-17	204
Query_41	Query_41	BC_4221	2e-17	203
Query_41	Query_41	BC_3666	4e-17	200
Query_41	Query_41	BC_4077	5e-17	199
Query_41	Query_41	BC_3591	8e-17	198
Query_41	Query_41	BC_2902	2e-16	194
Query_41	Query_41	BC_0767	7e-16	190
Query_41	Query_41	BC_0767	1e-07	118
Query_41	Query_41	BC_5355	4e-15	183
Query_41	Query_41	BC_0513	9e-15	180
Query_41	Query_41	BC_3790	3e-14	176
Query_41	Query_41	BC_3790	4e-12	157
Query_41	Query_41	BC_0210	6e-14	173
Query_41	Query_41	BC_4748	2e-13	168
Query_41	Query_41	BC_1940	4e-13	165
Query_41	Query_41	BC_0245	1e-12	162
Query_41	Query_41	BC_5381	1e-12	162
Query_41	Query_41	BC_0567	1e-12	161
Query_41	Query_41	BC_3735	4e-12	157
Query_41	Query_41	BC_1928	5e-12	156
Query_41	Query_41	BC_0662	1e-11	154
Query_41	Query_41	BC_0662	1e-09	136
Query_41	Query_41	BC_5285	1e-11	152
Query_41	Query_41	BC_2719	2e-11	151
Query_41	Query_41	BC_4016	3e-11	149
Query_41	Query_41	BC_4831	4e-11	149
Query_41	Query_41	BC_1324	4e-11	149
Query_41	Query_41	BC_4544	5e-11	147
Query_41	Query_41	BC_4431	6e-11	147
Query_41	Query_41	BC_0764	1e-10	144
Query_41	Query_41	BC_0874	3e-10	141
Query_41	Query_41	BC_2963	4e-10	140
Query_41	Query_41	BC_4987	4e-10	140
Query_41	Query_41	BC_2933	5e-10	139
Query_41	Query_41	BC_2933	4e-08	123
Query_41	Query_41	BC_0871	6e-10	139
Query_41	Query_41	BC_2543	8e-10	137
Query_41	Query_41	BC_0197	8e-10	137
Query_41	Query_41	BC_0161	9e-10	137
Query_41	Query_41	BC_1955	1e-09	136
Query_41	Query_41	BC_5118	2e-09	135
Query_41	Query_41	BC_0743	2e-09	135
Query_41	Query_41	BC_1929	2e-09	134
Query_41	Query_41	BC_5103	2e-09	134
Query_41	Query_41	BC_1286	3e-09	133
Query_41	Query_41	BC_4839	4e-09	132
Query_41	Query_41	BC_0346	5e-09	131
Query_41	Query_41	BC_1094	7e-09	129
Query_41	Query_41	BC_2912	8e-09	129
Query_41	Query_41	BC_4361	1e-08	128
Query_41	Query_41	BC_1941	1e-08	127
Query_41	Query_41	BC_0619	2e-08	126
Query_41	Query_41	BC_5178	2e-08	126
Query_41	Query_41	BC_3679	3e-08	124
Query_41	Query_41	BC_3222	3e-08	124
Query_41	Query_41	BC_4148	3e-08	123
Query_41	Query_41	BC_0403	5e-08	122
Query_41	Query_41	BC_0239	5e-08	122
Query_41	Query_41	BC_4940	8e-08	120
Query_41	Query_41	BC_4779	8e-08	120
Query_41	Query_41	BC_2541	9e-08	120
Query_41	Query_41	BC_2541	2e-06	109
Query_41	Query_41	BC_2232	1e-07	119
Query_41	Query_41	BC_2371	1e-07	119
Query_41	Query_41	BC_0911	1e-07	118
Query_41	Query_41	BC_1183	2e-07	116
Query_41	Query_41	BC_0815	2e-07	116
Query_41	Query_41	BC_2323	5e-07	113
Query_41	Query_41	BC_5186	8e-07	112
Query_41	Query_41	BC_2151	3e-06	107
Query_41	Query_41	BC_4983	3e-06	107
Query_41	Query_41	BC_5072	3e-06	107
Query_41	Query_41	BC_3678	3e-06	106
Query_41	Query_41	BC_4743	6e-06	104
Query_41	Query_41	BC_0244	1e-05	102
Query_41	Query_41	BC_5286	2e-05	100
Query_41	Query_41	BC_0870	2e-05	100
Query_41	Query_41	BC_5254	2e-05	100
Query_41	Query_41	BC_1684	3e-05	97
Query_41	Query_41	BC_2372	5e-05	96
Query_41	Query_41	BC_4266	6e-05	95
Query_41	Query_41	BC_5167	9e-05	94
Query_41	Query_41	BC_3685	1e-04	93
Query_41	Query_41	BC_0639	2e-04	91
Query_43	Query_43	BC_3787	1e-16	198
Query_44	Query_44	BC_3786	9e-18	209
Query_44	Query_44	BC_3803	3e-07	118
Query_46	Query_46	BC_0592	2e-155	1395
Query_46	Query_46	BC_4623	6e-155	1391
Query_47	Query_47	BC_1285	8e-88	813
Query_47	Query_47	BC_0357	1e-45	450
Query_47	Query_47	BC_3555	5e-45	444
Query_47	Query_47	BC_0868	2e-39	396
Query_47	Query_47	BC_2832	2e-37	378
Query_47	Query_47	BC_2241	9e-32	329
Query_47	Query_47	BC_0344	4e-29	307
Query_47	Query_47	BC_2290	2e-16	197
Query_48	Query_48	BC_0357	2e-70	664
Query_48	Query_48	BC_0868	5e-70	660
Query_48	Query_48	BC_2241	2e-60	577
Query_48	Query_48	BC_2832	2e-58	559
Query_48	Query_48	BC_3555	1e-57	553
Query_48	Query_48	BC_2290	7e-56	538
Query_48	Query_48	BC_0344	6e-42	418
Query_48	Query_48	BC_1285	2e-22	249
Query_48	Query_48	BC_4365	2e-07	121
Query_49	Query_49	BC_3742	8e-93	854
Query_49	Query_49	BC_0468	6e-22	243
Query_50	Query_50	BC_0264	7e-112	1020
Query_50	Query_50	BC_2063	4e-85	789
Query_51	Query_51	BC_0884	8e-79	733
Query_52	Query_52	BC_3668	2e-87	807
Query_52	Query_52	BC_2367	2e-37	377
Query_52	Query_52	BC_5222	4e-25	270
Query_52	Query_52	BC_1841	9e-24	259
Query_52	Query_52	BC_3127	4e-22	244
Query_52	Query_52	BC_5175	8e-21	233
Query_52	Query_52	BC_3493	2e-20	229
Query_52	Query_52	BC_3190	4e-19	219
Query_52	Query_52	BC_4650	5e-18	209
Query_52	Query_52	BC_0224	7e-18	208
Query_52	Query_52	BC_3476	2e-15	187
Query_52	Query_52	BC_3982	8e-15	182
Query_52	Query_52	BC_1683	4e-13	167
Query_52	Query_52	BC_2362	1e-11	153
Query_52	Query_52	BC_1932	9e-08	121
Query_53	Query_53	BC_0883	0.0	1968
Query_53	Query_53	BC_1777	4e-65	618
Query_53	Query_53	BC_2328	2e-58	560
Query_53	Query_53	BC_2433	2e-11	154
Query_54	Query_54	BC_5051	2e-165	1483
Query_54	Query_54	BC_5043	8e-146	1313
Query_54	Query_54	BC_3116	8e-143	1288
Query_54	Query_54	BC_0638	9e-106	968
Query_54	Query_54	BC_2831	9e-100	916
Query_54	Query_54	BC_2317	4e-65	618
Query_55	Query_55	BC_0374	2e-112	1025
Query_55	Query_55	BC_3664	7e-41	408
Query_55	Query_55	BC_0701	2e-30	317
Query_55	Query_55	BC_1374	6e-28	296
Query_55	Query_55	BC_3980	7e-24	261
Query_55	Query_55	BC_3176	2e-11	154
Query_56	Query_56	BC_0360	3e-160	1437
Query_56	Query_56	BC_1812	2e-121	1103
Query_56	Query_56	BC_4678	6e-20	227
Query_57	Query_57	BC_4011	1e-28	301
Query_57	Query_57	BC_0569	8e-22	241
Query_57	Query_57	BC_4012	9e-05	94
Query_58	Query_58	BC_0568	3e-24	263
Query_58	Query_58	BC_4012	3e-22	246
Query_58	Query_58	BC_1288	6e-09	131
Query_58	Query_58	BC_1325	1e-08	129
Query_59	Query_59	BC_0413	4e-05	101
Query_60	Query_60	BC_2734	3e-157	1414
Query_60	Query_60	BC_4867	2e-08	131
Query_61	Query_61	BC_3094	1e-129	1172
Query_61	Query_61	BC_1496	1e-25	276
Query_62	Query_62	BC_0611	0.0	2002
Query_62	Query_62	BC_3093	0.0	1986
Query_62	Query_62	BC_1740	0.0	1959
Query_62	Query_62	BC_1712	1e-115	1053
Query_62	Query_62	BC_4629	7e-18	210
Query_62	Query_62	BC_3550	2e-12	164
Query_62	Query_62	BC_0325	3e-12	162
Query_63	Query_63	BC_3095	9e-28	287
Query_63	Query_63	BC_1850	3e-13	163
Query_63	Query_63	BC_1032	2e-08	121
Query_65	Query_65	BC_0907	2e-51	500
Query_65	Query_65	BC_0241	5e-45	445
Query_65	Query_65	BC_0211	7e-26	280
Query_65	Query_65	BC_1794	2e-15	190
Query_65	Query_65	BC_3584	1e-11	156
Query_65	Query_65	BC_2848	2e-11	155
Query_65	Query_65	BC_2884	6e-10	142
Query_65	Query_65	BC_1179	9e-10	141
Query_65	Query_65	BC_0215	2e-07	121
Query_65	Query_65	BC_3586	4e-07	117
Query_65	Query_65	BC_3585	5e-07	117
Query_65	Query_65	BC_0859	1e-06	113
Query_65	Query_65	BC_1185	1e-06	113
Query_65	Query_65	BC_2026	2e-06	112
Query_66	Query_66	BC_0908	7e-70	657
Query_66	Query_66	BC_0242	2e-60	575
Query_66	Query_66	BC_1180	9e-53	509
Query_66	Query_66	BC_0207	2e-48	471
Query_66	Query_66	BC_1181	2e-06	109
Query_67	Query_67	BC_0909	3e-70	660
Query_67	Query_67	BC_0243	2e-59	566
Query_67	Query_67	BC_0208	5e-56	537
Query_67	Query_67	BC_1181	6e-43	424
Query_67	Query_67	BC_2221	4e-10	141
Query_67	Query_67	BC_2327	9e-06	103
Query_67	Query_67	BC_0819	4e-05	98
Query_68	Query_68	BC_1182	5e-97	891
Query_68	Query_68	BC_0244	1e-96	887
Query_68	Query_68	BC_0910	2e-93	860
Query_68	Query_68	BC_0209	5e-83	770
Query_68	Query_68	BC_0245	1e-68	647
Query_68	Query_68	BC_0911	5e-65	615
Query_68	Query_68	BC_1183	7e-53	510
Query_68	Query_68	BC_0210	4e-37	375
Query_68	Query_68	BC_0346	7e-34	346
Query_68	Query_68	BC_4148	4e-32	331
Query_68	Query_68	BC_0197	4e-31	323
Query_68	Query_68	BC_0874	3e-30	316
Query_68	Query_68	BC_0403	3e-30	315
Query_68	Query_68	BC_4987	1e-29	310
Query_68	Query_68	BC_0815	3e-29	307
Query_68	Query_68	BC_1094	6e-28	295
Query_68	Query_68	BC_3222	7e-28	295
Query_68	Query_68	BC_5254	7e-27	286
Query_68	Query_68	BC_2655	1e-26	284
Query_68	Query_68	BC_2655	2e-17	204
Query_68	Query_68	BC_2232	5e-26	279
Query_68	Query_68	BC_1324	8e-26	277
Query_68	Query_68	BC_2791	8e-26	277
Query_68	Query_68	BC_4831	1e-25	276
Query_68	Query_68	BC_0567	5e-25	270
Query_68	Query_68	BC_0764	1e-24	267
Query_68	Query_68	BC_0639	6e-24	261
Query_68	Query_68	BC_0160	2e-23	256
Query_68	Query_68	BC_2323	3e-23	254
Query_68	Query_68	BC_5355	4e-22	245
Query_68	Query_68	BC_4779	1e-21	241
Query_68	Query_68	BC_1684	2e-21	240
Query_68	Query_68	BC_2912	2e-21	239
Query_68	Query_68	BC_1050	6e-21	235
Query_68	Query_68	BC_4839	1e-20	233
Query_68	Query_68	BC_0161	5e-20	227
Query_68	Query_68	BC_4361	5e-20	227
Query_68	Query_68	BC_4279	1e-19	223
Query_68	Query_68	BC_4743	2e-19	222
Query_68	Query_68	BC_5186	3e-19	221
Query_68	Query_68	BC_5400	4e-19	219
Query_68	Query_68	BC_0513	5e-19	219
Query_68	Query_68	BC_5381	1e-18	215
Query_68	Query_68	BC_3735	3e-18	212
Query_68	Query_68	BC_1734	7e-18	208
Query_68	Query_68	BC_4016	1e-17	207
Query_68	Query_68	BC_0743	3e-17	204
Query_68	Query_68	BC_1286	4e-17	202
Query_68	Query_68	BC_4544	4e-17	202
Query_68	Query_68	BC_3685	5e-17	201
Query_68	Query_68	BC_0619	7e-17	200
Query_68	Query_68	BC_4266	1e-16	198
Query_68	Query_68	BC_5103	2e-16	197
Query_68	Query_68	BC_2543	3e-16	195
Query_68	Query_68	BC_3678	9e-16	190
Query_68	Query_68	BC_4431	1e-15	190
Query_68	Query_68	BC_4537	1e-15	190
Query_68	Query_68	BC_3436	3e-15	186
Query_68	Query_68	BC_2963	5e-15	184
Query_68	Query_68	BC_2719	6e-15	183
Query_68	Query_68	BC_2184	7e-15	183
Query_68	Query_68	BC_0767	1e-14	180
Query_68	Query_68	BC_0767	3e-12	159
Query_68	Query_68	BC_4221	2e-14	179
Query_68	Query_68	BC_5182	2e-14	179
Query_68	Query_68	BC_3666	2e-14	178
Query_68	Query_68	BC_2478	4e-14	176
Query_68	Query_68	BC_3790	1e-13	172
Query_68	Query_68	BC_3790	1e-11	155
Query_68	Query_68	BC_0870	3e-13	169
Query_68	Query_68	BC_1357	3e-13	168
Query_68	Query_68	BC_3591	3e-13	168
Query_68	Query_68	BC_1359	3e-13	168
Query_68	Query_68	BC_4824	5e-13	166
Query_68	Query_68	BC_0871	1e-12	163
Query_68	Query_68	BC_1955	1e-12	163
Query_68	Query_68	BC_1929	1e-12	163
Query_68	Query_68	BC_5285	4e-12	159
Query_68	Query_68	BC_2151	1e-11	155
Query_68	Query_68	BC_0427	2e-11	153
Query_68	Query_68	BC_4077	6e-11	148
Query_68	Query_68	BC_4940	8e-11	148
Query_68	Query_68	BC_2371	9e-11	147
Query_68	Query_68	BC_1928	9e-11	147
Query_68	Query_68	BC_2902	2e-10	144
Query_68	Query_68	BC_1940	3e-10	143
Query_68	Query_68	BC_3679	5e-10	141
Query_68	Query_68	BC_0662	1e-09	138
Query_68	Query_68	BC_0662	3e-09	134
Query_68	Query_68	BC_0509	1e-09	138
Query_68	Query_68	BC_1941	4e-09	133
Query_68	Query_68	BC_4510	5e-09	132
Query_68	Query_68	BC_5178	1e-08	128
Query_68	Query_68	BC_5178	1e-05	103
Query_68	Query_68	BC_3329	2e-08	126
Query_68	Query_68	BC_4748	3e-08	125
Query_68	Query_68	BC_0290	4e-08	125
Query_68	Query_68	BC_2372	2e-07	118
Query_68	Query_68	BC_2541	6e-07	114
Query_68	Query_68	BC_2541	3e-05	99
Query_68	Query_68	BC_5072	1e-06	112
Query_68	Query_68	BC_5433	1e-06	111
Query_68	Query_68	BC_2933	8e-06	105
Query_68	Query_68	BC_5118	1e-05	102
Query_68	Query_68	BC_4825	3e-05	99
Query_68	Query_68	BC_0239	3e-05	99
Query_69	Query_69	BC_0245	2e-112	1025
Query_69	Query_69	BC_0911	3e-109	996
Query_69	Query_69	BC_1183	1e-86	802
Query_69	Query_69	BC_1182	5e-64	607
Query_69	Query_69	BC_0244	2e-63	601
Query_69	Query_69	BC_0910	4e-61	582
Query_69	Query_69	BC_0210	3e-55	530
Query_69	Query_69	BC_0209	1e-51	500
Query_69	Query_69	BC_0346	7e-41	407
Query_69	Query_69	BC_4987	5e-39	391
Query_69	Query_69	BC_0197	3e-38	385
Query_69	Query_69	BC_2232	2e-34	352
Query_69	Query_69	BC_2791	1e-33	344
Query_69	Query_69	BC_1324	2e-32	334
Query_69	Query_69	BC_4148	1e-31	328
Query_69	Query_69	BC_1094	1e-29	310
Query_69	Query_69	BC_1684	1e-29	309
Query_69	Query_69	BC_0403	3e-29	307
Query_69	Query_69	BC_0815	7e-28	295
Query_69	Query_69	BC_0874	8e-28	294
Query_69	Query_69	BC_0567	3e-26	281
Query_69	Query_69	BC_1286	4e-26	279
Query_69	Query_69	BC_0639	3e-25	272
Query_69	Query_69	BC_0619	8e-25	268
Query_69	Query_69	BC_0160	1e-24	268
Query_69	Query_69	BC_3222	1e-24	266
Query_69	Query_69	BC_4831	2e-24	266
Query_69	Query_69	BC_0161	3e-23	254
Query_69	Query_69	BC_2323	4e-23	254
Query_69	Query_69	BC_5254	4e-23	254
Query_69	Query_69	BC_2543	4e-23	253
Query_69	Query_69	BC_5186	7e-23	251
Query_69	Query_69	BC_5400	9e-23	251
Query_69	Query_69	BC_2912	9e-23	251
Query_69	Query_69	BC_3685	1e-22	250
Query_69	Query_69	BC_4266	3e-22	246
Query_69	Query_69	BC_5381	5e-22	244
Query_69	Query_69	BC_2655	1e-21	242
Query_69	Query_69	BC_2655	3e-14	177
Query_69	Query_69	BC_4743	2e-21	239
Query_69	Query_69	BC_0513	2e-21	238
Query_69	Query_69	BC_4361	4e-21	237
Query_69	Query_69	BC_3735	5e-21	236
Query_69	Query_69	BC_4537	5e-21	235
Query_69	Query_69	BC_4779	1e-20	232
Query_69	Query_69	BC_0764	2e-20	231
Query_69	Query_69	BC_3678	3e-20	229
Query_69	Query_69	BC_4279	4e-20	227
Query_69	Query_69	BC_1734	5e-20	227
Query_69	Query_69	BC_4839	1e-19	223
Query_69	Query_69	BC_1359	6e-19	218
Query_69	Query_69	BC_4016	7e-19	217
Query_69	Query_69	BC_0743	5e-18	210
Query_69	Query_69	BC_3666	6e-18	209
Query_69	Query_69	BC_3679	6e-18	209
Query_69	Query_69	BC_0870	9e-18	207
Query_69	Query_69	BC_4544	2e-17	205
Query_69	Query_69	BC_3591	2e-17	204
Query_69	Query_69	BC_0871	6e-17	200
Query_69	Query_69	BC_0662	7e-17	200
Query_69	Query_69	BC_0662	6e-13	166
Query_69	Query_69	BC_1928	8e-17	199
Query_69	Query_69	BC_0509	1e-16	197
Query_69	Query_69	BC_1940	3e-16	194
Query_69	Query_69	BC_3790	7e-16	191
Query_69	Query_69	BC_3790	1e-13	172
Query_69	Query_69	BC_3436	7e-16	191
Query_69	Query_69	BC_4221	8e-16	191
Query_69	Query_69	BC_4510	1e-15	190
Query_69	Query_69	BC_2151	4e-15	185
Query_69	Query_69	BC_2151	3e-06	109
Query_69	Query_69	BC_1955	9e-15	181
Query_69	Query_69	BC_5182	9e-15	181
Query_69	Query_69	BC_4431	1e-14	180
Query_69	Query_69	BC_5103	2e-14	180
Query_69	Query_69	BC_2371	3e-14	177
Query_69	Query_69	BC_5355	9e-14	173
Query_69	Query_69	BC_4940	1e-13	172
Query_69	Query_69	BC_2719	1e-13	171
Query_69	Query_69	BC_4077	2e-13	170
Query_69	Query_69	BC_4824	8e-13	165
Query_69	Query_69	BC_0427	9e-13	164
Query_69	Query_69	BC_5072	1e-12	163
Query_69	Query_69	BC_5072	3e-05	99
Query_69	Query_69	BC_2963	2e-12	162
Query_69	Query_69	BC_1050	3e-12	160
Query_69	Query_69	BC_5285	3e-12	160
Query_69	Query_69	BC_4983	4e-12	159
Query_69	Query_69	BC_3329	5e-12	158
Query_69	Query_69	BC_2372	1e-11	155
Query_69	Query_69	BC_4748	1e-11	155
Query_69	Query_69	BC_5178	2e-11	154
Query_69	Query_69	BC_5178	1e-05	103
Query_69	Query_69	BC_2478	4e-11	150
Query_69	Query_69	BC_1941	4e-11	150
Query_69	Query_69	BC_5433	1e-10	145
Query_69	Query_69	BC_0767	4e-10	142
Query_69	Query_69	BC_0767	2e-07	118
Query_69	Query_69	BC_2902	1e-09	138
Query_69	Query_69	BC_2933	2e-08	126
Query_69	Query_69	BC_0290	2e-08	126
Query_69	Query_69	BC_0290	8e-06	104
Query_69	Query_69	BC_1929	2e-08	126
Query_69	Query_69	BC_2541	5e-08	124
Query_69	Query_69	BC_2541	2e-07	118
Query_69	Query_69	BC_2184	7e-08	122
Query_69	Query_69	BC_4825	1e-07	119
Query_69	Query_69	BC_0239	5e-06	106
Query_69	Query_69	BC_0239	2e-05	101
Query_69	Query_69	BC_5118	2e-05	102
Query_69	Query_69	BC_1357	3e-05	99
Query_69	Query_69	BC_5286	4e-05	99
Query_70	Query_70	BC_2316	5e-60	573
Query_70	Query_70	BC_1997	7e-51	494
Query_70	Query_70	BC_4869	1e-25	275
Query_70	Query_70	BC_4869	1e-09	139
Query_70	Query_70	BC_4351	1e-22	250
Query_70	Query_70	BC_4351	9e-16	191
Query_70	Query_70	BC_3240	3e-18	213
Query_71	Query_71	BC_2316	3e-32	334
Query_71	Query_71	BC_4351	2e-28	301
Query_71	Query_71	BC_4351	4e-09	134
Query_71	Query_71	BC_1997	4e-24	264
Query_71	Query_71	BC_4869	4e-21	238
Query_71	Query_71	BC_4869	1e-18	217
Query_71	Query_71	BC_3240	2e-05	102
Query_72	Query_72	BC_4402	7e-76	705
